,Model,Hafiza,Ekran_Boyutu,Garanti,Kamera_Cozunurluk,Baglanti_Hizi,Pil_Gucu,RAM,Fiyat
311,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
312,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
313,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
314,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
315,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
316,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
317,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
318,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
319,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,0.0
320,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
321,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
322,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
323,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,0.0
324,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
325,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
326,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
327,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
328,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
329,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
330,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
331,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
332,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
333,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
334,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
335,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,0.0
336,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
337,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
338,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
339,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,0.0
340,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
341,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,0.0
342,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
343,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
344,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
345,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
346,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
347,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
348,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
349,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
350,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
351,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
352,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
353,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
354,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
355,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
356,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
357,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
358,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,0.0
359,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
360,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
361,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,0.0
362,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
363,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
364,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
365,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
366,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
367,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
368,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
369,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
370,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
371,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
372,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
373,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
374,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
375,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
376,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
377,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
378,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
379,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
380,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
381,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
382,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
383,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
384,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
385,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
386,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
387,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
388,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
389,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
390,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,0.0
391,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
392,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
393,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
394,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,0.0
395,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
396,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
397,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
398,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
399,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
400,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
401,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
402,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
403,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
404,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
405,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
406,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
407,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
408,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
409,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
410,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,0.0
411,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
412,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
413,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
414,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
415,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
416,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
417,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
418,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
419,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
420,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
421,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
422,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
423,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
424,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
425,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
426,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
427,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
428,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
429,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
430,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
431,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
432,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
433,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
434,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,0.0
435,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,0.0
436,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
437,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
438,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
439,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
440,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
441,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
442,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
443,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
444,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
445,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
446,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
447,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,0.0
448,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
449,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,0.0
450,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
451,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
452,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
453,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
454,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
455,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
456,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
457,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
458,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
459,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
460,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
461,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
462,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
463,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
464,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
465,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
466,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
467,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,0.0
468,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
469,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
470,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
471,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
472,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
473,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
474,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
475,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
476,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
477,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
478,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
479,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
480,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
481,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
482,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
483,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
484,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
485,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
486,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
487,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
488,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
489,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
490,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
491,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
492,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
493,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,0.0
494,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
495,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
496,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
497,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
498,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
499,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
500,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
501,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
502,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,0.0
503,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
504,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
505,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
506,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
507,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
508,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
509,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
510,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
511,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
512,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
513,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
514,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
515,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,0.0
516,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
517,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
518,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
519,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
520,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
521,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,0.0
522,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
523,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
524,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
525,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,0.0
526,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
527,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
528,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
529,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
530,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
531,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
532,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
533,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
534,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
535,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
536,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
537,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
538,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
539,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
540,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
541,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
542,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
543,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
544,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
545,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,0.0
546,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
547,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
548,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
549,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,0.0
550,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
551,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
552,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
553,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
554,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
555,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
556,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
557,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
558,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
559,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
560,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
561,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
562,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
563,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,0.0
564,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
565,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
566,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
567,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
568,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
569,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
570,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
571,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
572,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
573,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
574,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
575,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,0.0
576,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
577,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
578,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,0.0
579,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
580,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
581,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
582,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
583,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,0.0
584,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,0.0
585,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
586,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
587,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
588,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
589,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,0.0
590,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
591,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
592,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
593,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
594,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
595,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
596,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
597,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
598,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
599,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
600,3,256.0,6.4,3.0,50.0,5.0,5000.0,8.0,15999.0
601,1,128.0,6.6,4.0,6.4,4.5,4500.0,8.0,8799.0
602,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
603,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
604,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
605,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
606,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
607,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
608,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
609,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
610,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
611,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
612,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
613,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
614,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
615,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
616,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
617,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
618,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
619,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
620,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
621,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
622,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
623,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
